{INFO} com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:22:27
{WARN} com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:22:27
{ERROR} com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:22:27
{FATAL} com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:22:27
{INFO} com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:22:27
{INFO} com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:22:27
{INFO} com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:25:51
{WARN} com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:25:51
{ERROR} com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:25:51
{FATAL} com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:25:51
{INFO} com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:25:51
{INFO} com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:25:51
{INFO} com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:26:08
{WARN} com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:26:08
{ERROR} com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:26:08
{FATAL} com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:26:08
{INFO} com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:26:08
{INFO} com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:26:08
{INFO} -5INFO com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:34:42
{WARN} -5WARN com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:34:42
{ERROR} -5ERROR com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:34:42
{FATAL} -5FATAL com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:34:42
{INFO} -5INFO com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:34:42
{INFO} -5INFO com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:34:42
{INFO} - INFO com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:35:54
{WARN} - WARN com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:35:54
{ERROR} -ERROR com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:35:54
{FATAL} -FATAL com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:35:54
{INFO} - INFO com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:35:54
{INFO} - INFO com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:35:54
{INFO}  INFO com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:37:10
{WARN}  WARN com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:37:10
{ERROR} ERROR com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:37:10
{FATAL} FATAL com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:37:10
{INFO}  INFO com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:37:10
{INFO}  INFO com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:37:10
{INFO} 	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:45:11
{WARN} 	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:45:11
{ERROR} 	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:45:11
{FATAL} 	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:45:11
{INFO} 	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:45:11
{INFO} 	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:45:11
{INFO}	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:46:57
{WARN}	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:46:57
{ERROR}	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:46:57
{FATAL}	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:46:57
{INFO}	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:46:57
{INFO}	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:46:57
{INFO}	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:48:43
{WARN}	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:48:43
{ERROR}	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:48:43
{FATAL}	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:48:43
{INFO}	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:48:43
{INFO}	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:48:43
{INFO}	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:49:18
{WARN}	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:49:18
{ERROR}	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:49:18
{FATAL}	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:49:18
{INFO}	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:49:18
{INFO}	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:49:18
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:58:00
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:58:00
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:58:00
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:58:00
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:58:00
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:58:00
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:58:20
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:58:20
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:58:20
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:58:20
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:58:20
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:58:20
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:58:43
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:58:43
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:58:43
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:58:43
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:58:43
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:58:43
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:59:11
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:59:11
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:59:11
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:59:11
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:59:11
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:59:11
{INFO}	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 15:35:24
{WARN}	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 15:35:24
{ERROR}	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 15:35:24
{FATAL}	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 15:35:24
{INFO}	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 15:35:24
{INFO}	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 15:35:24
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 15:35:52
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 15:35:52
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 15:35:52
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 15:35:52
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 15:35:52
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 15:35:52
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 15:36:37
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 15:36:37
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 15:36:37
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 15:36:37
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 15:36:37
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 15:36:37
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 15:37:28
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 15:37:28
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 15:37:28
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 15:37:28
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 15:37:28
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 15:37:28
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 15:37:51
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 15:37:51
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 15:37:51
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 15:37:51
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 15:37:51
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 15:37:51
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     	30-Dec-2020 Wednesday MST 15:38:28
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     	30-Dec-2020 Wednesday MST 15:38:28
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     	30-Dec-2020 Wednesday MST 15:38:28
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     	30-Dec-2020 Wednesday MST 15:38:28
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     	30-Dec-2020 Wednesday MST 15:38:28
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     	30-Dec-2020 Wednesday MST 15:38:28
{INFO}	com.app.main.HelloLog4j 		Hello from INFO     	30-Dec-2020 Wednesday MST 15:39:09
{WARN}	com.app.main.HelloLog4j 		Hello from WARN     	30-Dec-2020 Wednesday MST 15:39:09
{ERROR}	com.app.main.HelloLog4j 		Hello from ERROR     	30-Dec-2020 Wednesday MST 15:39:09
{FATAL}	com.app.main.HelloLog4j 		Hello from FATAL     	30-Dec-2020 Wednesday MST 15:39:09
{INFO}	com.app.service.HelloLogService 		hello from log service helloLog()     	30-Dec-2020 Wednesday MST 15:39:09
{INFO}	com.app.service.HelloLogService 		bye bye from log service helloLog()     	30-Dec-2020 Wednesday MST 15:39:09
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     	30-Dec-2020 Wednesday MST 15:39:57
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     	30-Dec-2020 Wednesday MST 15:39:57
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     	30-Dec-2020 Wednesday MST 15:39:57
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     	30-Dec-2020 Wednesday MST 15:39:57
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     	30-Dec-2020 Wednesday MST 15:39:57
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     	30-Dec-2020 Wednesday MST 15:39:57
{INFO}	com.app.main.HelloLog4j 	%sHello from INFO     	30-Dec-2020 Wednesday MST 15:40:24
{WARN}	com.app.main.HelloLog4j 	%sHello from WARN     	30-Dec-2020 Wednesday MST 15:40:24
{ERROR}	com.app.main.HelloLog4j 	%sHello from ERROR     	30-Dec-2020 Wednesday MST 15:40:24
{FATAL}	com.app.main.HelloLog4j 	%sHello from FATAL     	30-Dec-2020 Wednesday MST 15:40:24
{INFO}	com.app.service.HelloLogService 	%shello from log service helloLog()     	30-Dec-2020 Wednesday MST 15:40:24
{INFO}	com.app.service.HelloLogService 	%sbye bye from log service helloLog()     	30-Dec-2020 Wednesday MST 15:40:24
{INFO}	com.app.main.HelloLog4j 	Hello from INFO%s     	30-Dec-2020 Wednesday MST 15:40:48
{WARN}	com.app.main.HelloLog4j 	Hello from WARN%s     	30-Dec-2020 Wednesday MST 15:40:48
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR%s     	30-Dec-2020 Wednesday MST 15:40:48
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL%s     	30-Dec-2020 Wednesday MST 15:40:48
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()%s     	30-Dec-2020 Wednesday MST 15:40:48
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()%s     	30-Dec-2020 Wednesday MST 15:40:48
